genre,category,age_group,option_a_en,option_b_en,option_a_fr,option_b_fr,option_a_es,option_b_es
Choice Chaos,silly,3-6,Have spaghetti hair 🍝,Have pickle fingers,Avoir des cheveux en spaghetti 🍝,Avoir des doigts en cornichon,Tener cabello de espaguetis 🍝,Tener dedos de pepinillo
Choice Chaos,silly,3-6,Speak only in hiccups,Speak only in whispers,Parler uniquement en hoquets,Parler uniquement en chuchotements,Hablar solo con hipo 🤭,Hablar solo en susurros
Choice Chaos,silly,3-6,Bounce everywhere like a ball,Roll everywhere like a log,Rebondir partout comme une balle,Rouler partout comme une bûche,Rebotar por todas partes como una pelota 🏀,Rodar por todas partes como un tronco
Choice Chaos,silly,3-6,Have a clown nose that honks,Have shoes that squeak,Avoir un nez de clown qui klaxonne,Avoir des chaussures qui couinent,Tener un payaso que suena la bocina 🔴,Tener zapatos que crujen
Choice Chaos,deep,3-6,Live in a treehouse 🏡,Live in a cloud castle,Vivre dans une cabane dans les arbres 🏡,Vivre dans un château dans les nuages,Vivir en una casa en el árbol 🏡,Vivir en un castillo en las nubes
Choice Chaos,deep,3-6,Be really fast 🏃,Be really strong 💪,Être super rapide 🏃,Être super fort 💪,Ser súper rápido 🏃,Ser súper fuerte 💪
Choice Chaos,deep,3-6,Have a pet dragon 🐉,Have a pet unicorn 🦄,Avoir un dragon comme animal de compagnie 🐉,Avoir une licorne comme animal de compagnie 🦄,Tener una mascota dragón 🐉,Tener una mascota unicornio 🦄
Choice Chaos,deep,3-6,Be a grown-up for a day,Be a baby again for a day,Être un adulte pendant un jour,Être un bébé pendant un jour,Ser un adulto por un día,Ser un bebé otra vez por un día
Choice Chaos,food,3-6,Eat only chocolate 🍫,Eat only pizza 🍕,Manger uniquement du chocolat 🍫,Manger uniquement de la pizza 🍕,Comer solo chocolate 🍫,Comer solo pizza 🍕
Choice Chaos,food,3-6,Have candy for breakfast 🍬,Have cake for dinner 🎂,Avoir des bonbons au petit-déjeuner 🍬,Avoir un gâteau au dîner 🎂,Tener dulces en el desayuno 🍬,Tener pastel en la cena 🎂
Choice Chaos,food,3-6,Only drink juice 🧃,Only drink milk 🥛,Boire uniquement du jus 🧃,Boire uniquement du lait 🥛,Beber solo jugo 🧃,Beber solo leche 🥛
Choice Chaos,food,3-6,Have fingers that smells like cookies 🍪,Have fingers that taste like strawberries 🍓,Avoir des doigts qui sentent les cookies 🍪,Avoir des doigts saveur fraise 🍓,Tener dedos que huelen a galletas 🍪,Tener dedos que saben a fresa 🍓
Choice Chaos,animals,3-6,Be a cat 🐱,Be a dog 🐶,Être un chat 🐱,Être un chien 🐶,Ser un gato 🐱,Ser un perro 🐶
Choice Chaos,animals,3-6,Have butterfly wings 🦋,Have fish fins 🐟,Avoir des ailes de papillon 🦋,Avoir des nageoires de poisson 🐟,Tener alas de mariposa 🦋,Tener aletas de pez 🐟
Choice Chaos,animals,3-6,Swim like a dolphin 🐬,Fly like a bird 🐦,Nager comme un dauphin 🐬,Voler comme un oiseau 🐦,Nadar como un delfín 🐬,Volar como un pájaro 🐦
Choice Chaos,animals,3-6,Have a tail like a monkey 🐒,Have ears like a bunny 🐰,Avoir une queue de singe 🐒,Avoir des oreilles de lapin 🐰,Tener cola de mono 🐒,Tener orejas de conejo 🐰
Choice Chaos,superpower,3-6,Fly like a bird ✈️,Swim like a fish 🐠,Voler comme un oiseau ✈️,Nager comme un poisson 🐠,Volar como un pájaro ✈️,Nadar como un pez 🐠
Choice Chaos,superpower,3-6,Be invisible 👻,Be really loud 🔊,Être invisible tout le temps 👻,Faire beaucoup de bruit tout le temps🔊,Ser invisible 👻,Ser súper ruidoso 🔊
Choice Chaos,superpower,3-6,Talk to animals 🗣️,Talk to plants 🌱,Parler aux animaux 🗣️,Parler aux plantes 🌱,Hablar con los animales 🗣️,Hablar con las plantas 🌱
Choice Chaos,superpower,3-6,Shrink really small 🐜,Grow really big 🦒,Devenir petit comme une fourmie 🐜,Devenir grand comme une girage🦒,Encogerse mucho 🐜,Crecer mucho 🦒
Choice Chaos,gross,3-6,Burp really loud 💨,Fart in the bathtub 🛁,Roter dans le vent 💨,Péter dans le bain 🛁,Erutar muy fuerte 💨,Tirarse un pedo en la bañera 🛁
Choice Chaos,gross,3-6,Eat mud pies 🍩,Drink swamp water 🥤,Manger de la terre 🍩,Boire de l'eau d’un marécage 🥤,Comer pastas de barro 🍩,Beber agua de pantano 🥤
Choice Chaos,gross,3-6,Have stinky feet 👃,Have sticky hands 🤲,Avoir les pieds qui puent 👃,Avoir les mains collantes 🤲,Tener pies que huelen 👃,Tener manos pegajosas 🤲
Choice Chaos,gross,3-6,Wipe your nose on your sleeve 🤧,Pick your nose in class 👃,Se moucher sur sa manche 🤧,Se curer le nez en classe 👃,Sonarse la manga 🤧,Elegirse la nariz en clase 👃
Choice Chaos,adventure,3-6,Explore a dark cave 🔦,Climb a tall mountain ⛰️,Explorer une grotte sombre 🔦,Grimper sur une haute montagne ⛰️,Explorar una cueva oscura 🔦,Escalar una montaña alta ⛰️
Choice Chaos,adventure,3-6,Find buried treasure 💎,Find a secret door 🚪,Trouver un trésor enfoui 💎,Trouver une porte secrète 🚪,Encontrar un tesoro enterrado 💎,Encontrar una puerta secreta 🚪
Choice Chaos,adventure,3-6,Ride a rocket to the moon 🚀,Sail a pirate ship 🏴‍☠️,Prendre une fusée pour la lune 🚀,Naviguer sur un bateau pirate 🏴‍☠️,Viajar en cohete a la luna 🚀,Navegar en un barco pirata 🏴‍☠️
Choice Chaos,adventure,3-6,Live on a houseboat 🚤,Live in a lighthouse 🏠,Vivre sur une péniche 🚤,Vivre dans un phare 🏠,Vivir en una casa barco 🚤,Vivir en un faro 🏠
Choice Chaos,school,3-6,Have recess all day long 🛝,Have art class all day long 🎨,Avoir récréation toute la journée 🛝,Avoir des activités artistiques toute la journée 🎨,Tener recreo todo el día 🛝,Tener clase de arte todo el día 🎨
Choice Chaos,school,3-6,Your teacher is a clown 🤡,Your teacher is a superhero 🦸,Ton professeur est un clown 🤡,Ton professeur est un super-héros 🦸,Tu maestro es un payaso 🤡,Tu maestro es un superhéroe 🦸
Choice Chaos,school,3-6,Read books under a blanket 📚,Draw pictures all day ✏️,Lire sous une couverture 📚,Dessiner toute la journée ✏️,Leer libros bajo una manta 📚,Dibujar todo el día ✏️
Choice Chaos,school,3-6,Bring your pet to school 🐾,Bring your favorite toy to school 🧸,Amener ton animal à l'école 🐾,Amener ton jouet préféré à l'école 🧸,Llevar tu mascota a la escuela 🐾,Llevar tu juguete favorito a la escuela 🧸
Choice Chaos,silly,7-10,Have fingers as long as your arm 💪,Have toes as long as your fingers 🦶,Avoir des doigts aussi longs que ton bras 💪,Avoir des orteils aussi longs que tes doigts 🦶,Tener dedos tan largos como tu brazo 💪,Tener dedos de los pies tan largos como tus dedos 🦶
Choice Chaos,silly,7-10,Have a permanent clown wig 🤡,Have a permanent superhero cape 🦸,Avoir une perruque de clown permanente 🤡,Avoir une cape de super-héros permanente 🦸,Tener una peluca de payaso permanente 🤡,Tener una capa de superhéroe permanente 🦸
Choice Chaos,silly,7-10,Sneeze glitter ✨,Burp bubbles 💨,Éternuer de la paillette ✨,Roter des bulles 💨,Estornudar purpurina ✨,Erutar burbujas 💨
Choice Chaos,silly,7-10,Have a tail that wags when you're happy 🐕,Have ears that turn red when you're embarrassed 😳,Avoir une queue qui remue quand tu es content 🐕,Avoir des oreilles qui rougissent quand tu es gêné 😳,Tener una cola que se mueve cuando estás feliz 🐕,Tener orejas que se ponen rojas cuando te avergüenzas 😳
Choice Chaos,deep,7-10,Be famous but have no privacy 📸,Be anonymous but do whatever you want 🎭,Être célèbre mais ne pas avoir de vie privée 📸,Être anonyme mais faire ce que tu veux 🎭,Ser famoso sin privacidad 📸,Ser anónimo pero hacer lo que quieras 🎭
Choice Chaos,deep,7-10,Always know when someone is lying 🤥,Never be able to lie yourself 😇,Toujours savoir quand quelqu'un ment 🤥,Ne jamais pouvoir mentir toi-même 😇,Siempre saber cuándo alguien miente 🤥,Nunca poder mentir tú mismo 😇
Choice Chaos,deep,7-10,Be able to read minds 🧠,Be able to see the future 🔮,Pouvoir lire les pensées 🧠,Pouvoir voir le futur 🔮,Poder leer mentes 🧠,Poder ver el futuro 🔮
Choice Chaos,food,7-10,Never wait in line for food again ⏩,Always get the biggest portion 🍽️,Ne plus jamais faire la queue pour manger ⏩,Toujours avoir la plus grande portion 🍽️,Nunca hacer fila para comer ⏩,Siempre tener la porción más grande 🍽️
Choice Chaos,food,7-10,Your favorite meal appears whenever you want it 🍕,You can taste any food in the world 🌍,Ton repas préféré apparaît quand tu veux 🍕,Tu peux goûter n'importe quel plat du monde 🌍,Tu comida favorita aparece cuando la quieras 🍕,Puedes probar cualquier comida del mundo 🌍
Choice Chaos,food,7-10,Only eat food that's blue 💙,Only eat food that's shaped like stars ⭐,Manger uniquement de la nourriture bleue 💙,Manger uniquement de la nourriture en forme d'étoile ⭐,Comer solo comida azul 💙,Comer solo comida con forma de estrella ⭐
Choice Chaos,food,7-10,Have a chef who makes you breakfast every morning 👨‍🍳,Have a fridge that's always full 🧊,Avoir un chef qui te prépare le petit-déjeuner chaque matin 👨‍🍳,Avoir un frigo toujours plein 🧊,Tener un chef que te prepare el desayuno cada mañana 👨‍🍳,Tener un refrigerador siempre lleno 🧊
Choice Chaos,animals,7-10,Ride a elephant to school 🐘,Ride a whale through the ocean 🐋,Aller à l'école sur un éléphant 🐘,Naviguer sur une baleine dans l'océan 🐋,Ir a la escuela montando un elefante 🐘,Navegar sobre una ballena en el océano 🐋
Choice Chaos,animals,7-10,Have the speed of a cheetah 🐆,Have the strength of a bear 🐻,Avoir la vitesse d'un guépard 🆎,Avoir la force d'un ours 🐻,Tener la velocidad de un guepardo 🐆,Tener la fuerza de un oso 🐻
Choice Chaos,animals,7-10,Be able to talk to cats 🐈,Be able to talk to dogs 🐕,Pouvoir parler aux chats 🐈,Pouvoir parler aux chiens 🐕,Poder hablar con los gatos 🐈,Poder hablar con los perros 🐕
Choice Chaos,animals,7-10,Have wings like an eagle 🦅,Have a beak like a toucan 🐦,Avoir des ailes comme un aigle 🦅,Avoir un bec comme un toucan 🐦,Tener alas como un águila 🦅,Tener un pico como un tucán 🐦
Choice Chaos,superpower,7-10,Read minds 🧠,Control time ⏰,Lire les pensées 🧠,Contrôler le temps ⏰,Leer mentes 🧠,Controlar el tiempo ⏰
Choice Chaos,superpower,7-10,Teleport anywhere 🌀,Shapeshift into anyone 🎭,Se téléporter partout 🌀,Se transformer en n'importe qui 🎭,Teletransportarse a cualquier lugar 🌀,Transformarse en cualquiera 🎭
Choice Chaos,superpower,7-10,Breathe underwater 🌊,Walk through walls 🧱,Respirer sous l'eau 🌊,Marcher à travers les murs 🧱,Respirar bajo el agua 🌊,Caminar a través de las paredes 🧱
Choice Chaos,superpower,7-10,Speak every language 🌐,Play any instrument perfectly 🎸,Parler toutes les langues 🌐,Jouer de n'importe quel instrument parfaitement 🎸,Hablar todos los idiomas 🌐,Tocar cualquier instrumento perfectamente 🎸
Choice Chaos,gross,7-10,Have banana breath for a week 🍌,Have cheese-scented armpits 🧀,Avoir une haleine de banane pendant une semaine 🍌,Avoir des aissilles qui sentent le fromage 🧀,Tener aliento de plátano por una semana 🍌,Tener axilas con olor a queso 🧀
Choice Chaos,gross,7-10,Your socks always smell like onions 🧅,Your pillow is always damp 💧,Tes chaussettes sentent toujours l'oignon 🧅,Ton oreiller est toujours mouillé 💧,Tus calcetines siempre huelen a cebolla 🧅,Tu almohada siempre está húmeda 💧
Choice Chaos,gross,7-10,Have boogers made of cheese 🧀,Have earwax that tastes like chocolate 🍫,Avoir du fromage à la place des crottes de nez 🧀,Avoir de la cire d'oreille goût chocolat 🍫,Tener quesos en lugar de mocos 🧀,Tener cera de oídos que sabe a chocolate 🍫
Choice Chaos,gross,7-10,Fart every time you stand up 💨,Burp every time you stand up 🎵,Péter chaque fois que tu te lèves 💨,Roter chaque fois que tu t’assoies 🎵,Tirarte un pedo cada vez que te pones de pie 💨,Erutar cada vez que te paras 🎵
Choice Chaos,adventure,7-10,Explore an abandoned island 🏝️,Explore a haunted house 👻,Explorer une île abandonnée 🏝️,Explorer une maison hantée 👻,Explorar una isla abandonada 🏝️,Explorar una casa embrujada 👻
Choice Chaos,adventure,7-10,Be a pirate for a day ☠️,Be an astronaut for a day 🚀,Être un pirate pendant un jour ☠️,Être un astronaute pendant un jour 🚀,Ser un pirata por un día ☠️,Ser un astronauta por un día 🚀
Choice Chaos,adventure,7-10,Live in a treehouse village 🌳,Live in an underwater city 🌊,Vivre dans un village de cabanes dans les arbres 🌳,Vivre dans une cité sous-marine 🌊,Vivir en un pueblo de casas en árboles 🌳,Vivir en una ciudad submarina 🌊
Choice Chaos,adventure,7-10,Have a magic carpet 🧞,Have a personal robot 🤖,Avoir un tapis magique 🧞,Avoir un robot personnel 🤖,Tener una alfombra mágica 🧞,Tener un robot personal 🤖
Choice Chaos,school,7-10,Have no homework ever again 📝,Have a longer recess every day ⏰,Ne plus jamais avoir de devoirs 📝,Avoir une récréation plus longue chaque jour ⏰,Nunca tener tareas otra vez 📝,Tener un recreo más largo cada día ⏰
Choice Chaos,school,7-10,Your school is on a spaceship 🚀,Your school is on a tropical island 🏝️,Ton école est dans une fusée 🚀,Ton école est sur une île tropicale 🏝️,Tu escuela está en una nave espacial 🚀,Tu escuela está en una isla tropical 🏝️
Choice Chaos,school,7-10,Have a pet penguin as class mascot 🐧,Have a mini-golf course at school ⛳,Avoir un pingouin comme mascotte de classe 🐧,Avoir un parcours de mini-golf à l'école ⛳,Tener un pingüino como mascota de clase 🐧,Tener un campo de mini-golf en la escuela ⛳
Choice Chaos,school,7-10,Every test is a group project 🤝,Every class ends 10 minutes early ⏱️,Chaque examen est un projet de groupe 🤝,Chaque cours finit 10 minutes plus tôt ⏱️,Cada examen es un trabajo en equipo 🤝,Cada clase termina 10 minutos antes ⏱️
Choice Chaos,silly,11+,Have a theme song that plays when you walk into a room 🎵,Have a personal narrator following you around 🎙️,Avoir une musique thème qui joue quand tu entres dans une pièce 🎵,Avoir un narrateur personnel qui te suit partout 🎙️,Tener una canción temática que suena cuando entras a una habitación 🎵,Tener un narrador personal que te sigue a todas partes 🎙️
Choice Chaos,silly,11+,Every door you open has a drumroll 🥁,"Every time you sneeze, someone says 'bless you' in a different language 🌐",Chaque porte que tu ouvres a un roulement de tambour 🥁,"Chaque fois que tu éternues, quelqu'un dit 'à tes souhaits' dans une langue différente 🌐",Cada puerta que abres tiene un redoble de tambores 🥁,"Cada vez que estornudas, alguien dice 'salud' en un idioma diferente 🌐"
Choice Chaos,silly,11+,Your hair changes color with your mood 🌈,Your shoes make squeaky sounds when you walk 🥿,Tes cheveux changent de couleur selon ton humeur 🌈,Tes chaussures font un bruit couinant quand tu marches 🥿,Tu cabello cambia de color según tu estado de ánimo 🌈,Tus zapatos hacen ruidos chirriantes al caminar 🥿
Choice Chaos,silly,11+,Have a laugh track follow you around 😂,Have a dramatic orchestra swell when you enter a room 🎻,Avoir un rire enregistré qui te suit partout 😂,Avoir un orchestre dramatique qui joue quand tu entres dans une pièce 🎻,Tener una pista de risa que te sigue a todas partes 😂,Tener una orquesta dramática que suena cuando entras a una habitación 🎻
Choice Chaos,deep,11+,Always be 10 minutes late but never miss anything ⏳,Always be early but always get a surprise-gift ⏰,Toujours arriver 10 minutes en retard mais ne rien rater ⏳,Toujours arriver en avance mais avoir un cadeau-surprise ⏰,Siempre llegar 10 minutos tarde pero no perderte nada ⏳,Siempre llegar temprano pero siempre recibir un regalo sorpresa ⏰
Choice Chaos,deep,11+,Know how the universe ends 🔭,Know what happens after you die 👻,Savoir comment l'univers se termine 🔭,Savoir ce qui se passe après la mort 👻,Saber cómo termina el universo 🔭,Saber qué pasa después de morir 👻
Choice Chaos,deep,11+,Have a rewind button for your life ⏪,Have a pause button for other people's lives ⏸️,Avoir un bouton retour pour ta vie ⏪,Avoir un bouton pause pour la vie des autres ⏸️,Tener un botón de retroceso para tu vida ⏪,Tener un botón de pausa para la vida de los demás ⏸️
Choice Chaos,deep,11+,Be the funniest person in the room 😄,Be the smartest person in the room 🧠,Être la personne la plus drôle dans la pièce 😄,Être la personne la plus intelligente de la pièce 🧠,Ser la persona más divertida de la habitación 😄,Ser la persona más inteligente de la habitación 🧠
Choice Chaos,food,11+,Never have to wait for food to cool down ❄️,Never burn your tongue on hot food 🔥,Ne plus jamais attendre que ta nourriture refroidisse ❄️,Ne plus jamais te brûler la langue avec la nourriture chaude 🔥,Nunca tener que esperar a que tu comida se enfríe ❄️,Nunca quemarte la lengua con comida caliente 🔥
Choice Chaos,food,11+,Your favorite meal is always free 🆓,Your favorite meal tastes 10x better 🤤,Ton plat préféré est toujours gratuit 🆓,Ton plat préféré a 10 fois meilleur goût 🤤,Tu comida favorita siempre es gratis 🆓,Tu comida favorita sabe 10 veces mejor 🤤
Choice Chaos,food,11+,Only eat street food from around the world 🌮,Only eat home-cooked meals forever 🍲,Manger uniquement de la nourriture de rue du monde entier 🌮,Manger uniquement des plats faits maison pour toujours 🍲,Comer solo comida callejera de todo el mundo 🌮,Comer solo comidas caseras para siempre 🍲
Choice Chaos,food,11+,Have a personal pizza chef 👨‍🍳,Have a personal ice cream maker 🍦,Avoir un chef pizza personnel 👨‍🍳,Avoir un glacier personnel 🍦,Tener un chef de pizza personal 👨‍🍳,Tener un heladero personal 🍦
Choice Chaos,animals,11+,Have the reflexes of a cat 🐈,Have the stamina of a wolf 🐺,Avoir les réflexes d'un chat 🐈,Avoir l'endurance d'un loup 🐺,Tener los reflejos de un gato 🐈,Tener la resistencia de un lobo 🐺
Choice Chaos,animals,11+,Be able to fly like an eagle 🦅,Be able to dive like an otter 🦦,Pouvoir voler comme un aigle 🦅,Pouvoir plonger comme une loutre 🦦,Poder volar como un águila 🦅,Poder bucear como una nutria 🦦
Choice Chaos,animals,11+,Have a pet fox 🦊,Have a pet owl 🦉,Avoir un renard comme animal de compagnie 🦊,Avoir un hibou comme animal de compagnie 🦉,Tener un zorro como mascota 🦊,Tener un búho como mascota 🦉
Choice Chaos,animals,11+,Live in a world where all animals can talk 🗣️,Live in a world where you can talk to machines 🤖,Vivre dans un monde où tous les animaux peuvent parler 🗣️,Vivre dans un monde où tu peux parler aux machines 🤖,Vivir en un mundo donde todos los animales pueden hablar 🗣️,Vivir en un mundo donde puedes hablar con las máquinas 🤖
Choice Chaos,superpower,11+,Be able to duplicate yourself 👯,Be able to shrink to the size of an ant 🐜,Pouvoir te dupliquer 👯,Pouvoir te réduire à la taille d'une fourmi 🐜,Poder duplicarte 👯,Poder reducirte al tamaño de una hormiga 🐜
Choice Chaos,superpower,11+,Control the weather 🌦️,Control gravity 🪐,Contrôler la météo 🌦️,Contrôler la gravité 🪐,Controlar el clima 🌦️,Controlar la gravedad 🪐
Choice Chaos,superpower,11+,Be able to freeze time ⏸️,Be able to rewind time ⏪,Pouvoir figer le temps ⏸️,Pouvoir remonter le temps ⏪,Poder congelar el tiempo ⏸️,Poder rebobinar el tiempo ⏪
Choice Chaos,superpower,11+,Have night vision 🌙,Have super hearing 👂,Avoir la vision nocturne 🌙,Avoir une ouïe extraordinaire 👂,Tener visión nocturna 🌙,Tener oído superdotado 👂
Choice Chaos,gross,11+,Your breath smells like a different food every hour 🍽️,Your sweat smells like flowers 💐,Ton haleine sent un plat différent chaque heure 🍽️,Ta sueur sent les fleurs 💐,Tu aliento huele a una comida diferente cada hora 🍽️,Tu sudor huele a flores 💐
Choice Chaos,gross,11+,Have to eat a spider every Monday 🕷️,Have to drink from a puddle every Tuesday 💧,Devoir manger une araignée chaque lundi 🕷️,Devoir boire dans une flaque chaque mardi 💧,Tener que comer una araña cada lunes 🕷️,Tener que beber de un charco cada martes 💧
Choice Chaos,gross,11+,Your farts smell like roses 🌹,Your burps sound like thunder ⛈️,Tes pets sentent la rose 🌹,Tes rots sonnent comme le tonnerre ⛈️,Tus pedos huelen a rosas 🌹,Tus eructos suenan como truenos ⛈️
Choice Chaos,gross,11+,Have toads come out of your mouth when you laugh 🐸,Have glitter come out of your ears when you sneeze ✨,Des crapauds sortent de ta bouche quand tu ris 🐸,De la paillette sort de tes oreilles quand tu éternues ✨,Salen sapos de tu boca cuando te ríes 🐸,Sale purpurina de tus oídos cuando estornudas ✨
Choice Chaos,adventure,11+,Sail around the world on a boat ⛵,Travel the world in a hot air balloon 🎈,Faire le tour du monde en bateau ⛵,Voyager autour du monde en montgolfière 🎈,Dar la vuelta al mundo en barco ⛵,Viajar al mundo en un globo aerostático 🎈
Choice Chaos,adventure,11+,Live in a house made of glass 🏠,Live in a house that floats on water 🌊,Vivre dans une maison en verre 🏠,Vivre dans une maison qui flotte sur l'eau 🌊,Vivir en una casa de vidrio 🏠,Vivir en una casa que flota sobre el agua 🌊
Choice Chaos,adventure,11+,Be a deep-sea explorer 🤿,Be a space explorer 🚀,Être un explorateur des fonds marins 🤿,Être un explorateur de l'espace 🚀,Ser un explorador del fondo del mar 🤿,Ser un explorador del espacio 🚀
Choice Chaos,adventure,11+,Have a time machine ⏰,Have a portal to any place in the world 🌀,Avoir une machine à remonter le temps ⏰,Avoir un portail vers n'importe quel endroit du monde 🌀,Tener una máquina del tiempo ⏰,Tener un portal a cualquier lugar del mundo 🌀
Choice Chaos,school,11+,Have a class that's only about making people laugh 😂,Have a class that teaches you how to build cool stuff 🔧,Avoir un cours qui consiste uniquement à faire rire les gens 😂,Avoir un cours qui t'apprend à construire des trucs sympas 🔧,Tener una clase que solo sea para hacer reír a la gente 😂,Tener una clase que te enseñe a construir cosas geniales 🔧
Choice Chaos,school,11+,Your school has a rooftop garden 🌱,Your school has a go-kart track 🏎️,Ton école a un jardin sur le toit 🌱,Ton école a un circuit de karting 🏎️,Tu escuela tiene un jardín en la azotea 🌱,Tu escuela tiene un kartódromo 🏎️
Choice Chaos,school,11+,Study abroad on a mountain top 🏔️,Study abroad on a tropical island 🏝️,Étudier à l'étranger sur une montagne 🏔️,Étudier à l'étranger sur une île tropicale 🏝️,Estudiar en el extranjero en la cima de una montaña 🏔️,Estudiar en el extranjero en una isla tropical 🏝️
Choice Chaos,school,11+,Every project is a music video 🎬,Every presentation includes a magic trick 🎩,Chaque projet est un clip vidéo 🎬,Chaque présentation inclut un tour de magie 🎩,Cada proyecto es un video musical 🎬,Cada presentación incluye un truco de magia 🎩
Choice Chaos,silly,all,Have hands for feet 👣,Have feet for hands 🖐️,Avoir des mains à la place des pieds 👣,Avoir des pieds à la place des mains 🖐️,Tener manos en los pies 👣,Tener pies en las manos 🖐️
Choice Chaos,silly,all,Speak backwards 🔄,Walk backwards everywhere 🚶,Parler à l'envers 🔄,Marcher partout à l'envers 🚶,Hablar al revés 🔄,Caminar por todas partes de espaldas 🚶
Choice Chaos,deep,all,Be able to fly ✈️,Be invisible 👻,Pouvoir voler ✈️,Être invisible 👻,Poder volar ✈️,Ser invisible 👻
Choice Chaos,deep,all,Live in a treehouse 🏡,Live in a castle 🏰,Vivre dans une cabane dans les arbres 🏡,Vivre dans un château 🏰,Vivir en una casa en el árbol 🏡,Vivir en un castillo 🏰
Choice Chaos,food,all,Pizza for breakfast every day 🍕,Ice cream for dinner every day 🍦,Pizza au petit-déjeuner tous les jours 🍕,Glace au dîner tous les jours 🍦,Pizza en el desayuno todos los días 🍕,Helado en la cena todos los días 🍦
Choice Chaos,food,all,Only eat sweet food 🍬,Only eat savory food 🧂,Manger uniquement sucré 🍬,Manger uniquement salé 🧂,Comer solo dulce 🍬,Comer solo salado 🧂
Choice Chaos,animals,all,Have a pet elephant 🐘,Have a pet penguin 🐧,Avoir un éléphant comme animal de compagnie 🐘,Avoir un pingouin comme animal de compagnie 🐧,Tener un elefante como mascota 🐘,Tener un pingüino como mascota 🐧
Choice Chaos,animals,all,Swim with dolphins 🐬,Fly with eagles 🦅,Nager avec des dauphins 🐬,Voler avec des aigles 🦅,Nadar con delfines 🐬,Volar con águilas 🦅
Choice Chaos,superpower,all,Be really fast 🏃,Be really strong 💪,Être super rapide 🏃,Être super fort 💪,Ser súper rápido 🏃,Ser súper fuerte 💪
Choice Chaos,superpower,all,Talk to animals 🗣️,Read minds 🧠,Parler aux animaux 🗣️,Lire les pensées 🧠,Hablar con los animales 🗣️,Leer mentes 🧠
Choice Chaos,gross,all,Burp the alphabet 🎵,Fart on command 💨,Roter l'alphabet 🎵,Péter à la demande 💨,Erutar el abecedario 🎵,Tirarte un pedo a voluntad 💨
Choice Chaos,gross,all,Have permanently sticky fingers 🍯,Have permanently wet hair 💧,Avoir les doigts collants en permanence 🍯,Avoir les cheveux mouillés en permanence 💧,Tener dedos pegajosos permanentemente 🍯,Tener el cabello mojado permanentemente 💧
Choice Chaos,adventure,all,Find a treasure map 🗺️,Find a secret passage 🚪,Trouver une carte au trésor 🗺️,Trouver un passage secret 🚪,Encontrar un mapa del tesoro 🗺️,Encontrar un pasadizo secreto 🚪
Choice Chaos,adventure,all,Ride a dragon 🐉,Sail a pirate ship 🏴‍☠️,Monter un dragon 🐉,Naviguer sur un navire pirate 🏴‍☠️,Montar un dragón 🐉,Navegar en un barco pirata 🏴‍☠️
Choice Chaos,school,all,Have a class pet 🐾,Have a class garden 🌻,Avoir un animal de classe 🐾,Avoir un jardin de classe 🌻,Tener una mascota de clase 🐾,Tener un jardín de clase 🌻
Choice Chaos,school,all,Learn by playing games 🎮,Learn by building things 🔧,Apprendre en jouant 🎮,Apprendre en construisant des choses 🔧,Aprendiendo jugando 🎮,Aprendiendo construyendo cosas 🔧
